out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.000000,800.000000,0.403226,0.490323,0.487097,0.480645,0.467742,0.419355,0.464516,0.380645,0.409677,0.419355
1.000000,1000.000000,0.770968,0.838710,0.819355,0.741935,0.748387,0.732258,0.767742,0.783871,0.754839,0.700000
1.000000,1200.000000,0.809677,0.803226,0.819355,0.770968,0.719355,0.719355,0.800000,0.770968,0.719355,0.725806
1.000000,1400.000000,0.787097,0.790323,0.854839,0.758065,0.664516,0.732258,0.816129,0.745161,0.725806,0.761290
1.000000,1600.000000,0.754839,0.803226,0.903226,0.732258,0.664516,0.767742,0.803226,0.722581,0.748387,0.764516
1.000000,1800.000000,0.751613,0.838710,0.870968,0.680645,0.725806,0.777419,0.770968,0.741935,0.777419,0.725806
1.000000,2000.000000,0.777419,0.858065,0.829032,0.722581,0.754839,0.754839,0.754839,0.774194,0.770968,0.696774
1.000000,2200.000000,0.806452,0.829032,0.816129,0.754839,0.738710,0.722581,0.777419,0.783871,0.738710,0.709677
1.000000,2400.000000,0.806452,0.793548,0.832258,0.770968,0.677419,0.719355,0.812903,0.758065,0.722581,0.745161
1.000000,2600.000000,0.780645,0.790323,0.874194,0.745161,0.661290,0.751613,0.816129,0.729032,0.741935,0.767742
1.000000,2800.000000,0.751613,0.822581,0.906452,0.687097,0.674194,0.770968,0.780645,0.729032,0.770968,0.754839
1.000000,3000.000000,0.761290,0.858065,0.848387,0.680645,0.738710,0.767742,0.754839,0.758065,0.777419,0.709677
1.000000,3200.000000,0.793548,0.845161,0.812903,0.741935,0.745161,0.738710,0.767742,0.783871,0.754839,0.700000
1.000000,3400.000000,0.809677,0.803226,0.819355,0.770968,0.712903,0.712903,0.800000,0.770968,0.719355,0.725806
1.000000,3600.000000,0.790323,0.790323,0.858065,0.761290,0.661290,0.729032,0.822581,0.738710,0.719355,0.761290
1.000000,3800.000000,0.758065,0.806452,0.900000,0.729032,0.664516,0.767742,0.803226,0.722581,0.754839,0.767742
1.000000,4000.000000,0.754839,0.841935,0.861290,0.680645,0.725806,0.777419,0.767742,0.748387,0.780645,0.725806
1.000000,4200.000000,0.780645,0.858065,0.825806,0.725806,0.748387,0.754839,0.761290,0.777419,0.770968,0.696774
1.000000,4400.000000,0.809677,0.825806,0.816129,0.764516,0.735484,0.719355,0.787097,0.777419,0.732258,0.709677
1.000000,4600.000000,0.800000,0.790323,0.848387,0.770968,0.674194,0.719355,0.816129,0.754839,0.722581,0.754839
1.000000,4800.000000,0.770968,0.796774,0.890323,0.741935,0.664516,0.754839,0.809677,0.722581,0.741935,0.767742
1.000000,5000.000000,0.751613,0.829032,0.870968,0.680645,0.683871,0.774194,0.777419,0.735484,0.774194,0.741935
1.000000,5200.000000,0.770968,0.851613,0.838710,0.683871,0.741935,0.764516,0.754839,0.767742,0.774194,0.703226
1.000000,5400.000000,0.800000,0.835484,0.819355,0.748387,0.738710,0.725806,0.770968,0.783871,0.741935,0.706452
1.000000,5600.000000,0.809677,0.796774,0.825806,0.770968,0.680645,0.712903,0.812903,0.761290,0.716129,0.738710
1.000000,5800.000000,0.793548,0.845161,0.819355,0.735484,0.745161,0.732258,0.761290,0.783871,0.758065,0.696774
1.000000,6000.000000,0.809677,0.812903,0.816129,0.764516,0.725806,0.712903,0.796774,0.770968,0.722581,0.719355
2.000000,800.000000,0.793548,0.787097,0.848387,0.767742,0.664516,0.722581,0.822581,0.748387,0.722581,0.761290
2.000000,1000.000000,0.761290,0.796774,0.893548,0.738710,0.661290,0.758065,0.806452,0.722581,0.748387,0.770968
2.000000,1200.000000,0.745161,0.829032,0.870968,0.680645,0.709677,0.774194,0.774194,0.732258,0.774194,0.741935
2.000000,1400.000000,0.770968,0.854839,0.838710,0.690323,0.741935,0.758065,0.758065,0.767742,0.777419,0.706452
2.000000,1600.000000,0.800000,0.832258,0.816129,0.748387,0.741935,0.725806,0.774194,0.783871,0.748387,0.703226
2.000000,1800.000000,0.809677,0.796774,0.825806,0.770968,0.683871,0.712903,0.809677,0.767742,0.722581,0.738710
2.000000,2000.000000,0.783871,0.790323,0.861290,0.751613,0.664516,0.735484,0.816129,0.735484,0.725806,0.767742
2.000000,2200.000000,0.754839,0.803226,0.903226,0.725806,0.670968,0.767742,0.800000,0.722581,0.754839,0.761290
2.000000,2400.000000,0.751613,0.845161,0.861290,0.680645,0.722581,0.777419,0.764516,0.748387,0.777419,0.725806
2.000000,2600.000000,0.777419,0.858065,0.829032,0.729032,0.748387,0.751613,0.754839,0.770968,0.767742,0.687097
2.000000,2800.000000,0.806452,0.822581,0.816129,0.758065,0.735484,0.716129,0.787097,0.777419,0.732258,0.706452
2.000000,3000.000000,0.800000,0.790323,0.841935,0.770968,0.667742,0.719355,0.816129,0.754839,0.719355,0.748387
2.000000,3200.000000,0.770968,0.793548,0.877419,0.741935,0.664516,0.751613,0.816129,0.725806,0.732258,0.770968
2.000000,3400.000000,0.748387,0.829032,0.906452,0.687097,0.677419,0.777419,0.783871,0.732258,0.770968,0.748387
2.000000,3600.000000,0.767742,0.858065,0.848387,0.680645,0.738710,0.767742,0.754839,0.761290,0.777419,0.709677
2.000000,3800.000000,0.790323,0.845161,0.812903,0.741935,0.745161,0.738710,0.767742,0.783871,0.754839,0.700000
2.000000,4000.000000,0.809677,0.806452,0.825806,0.770968,0.719355,0.722581,0.803226,0.770968,0.719355,0.725806
2.000000,4200.000000,0.783871,0.790323,0.858065,0.761290,0.664516,0.732258,0.822581,0.738710,0.719355,0.767742
2.000000,4400.000000,0.751613,0.806452,0.906452,0.729032,0.664516,0.767742,0.803226,0.725806,0.754839,0.767742
2.000000,4600.000000,0.754839,0.845161,0.861290,0.680645,0.729032,0.774194,0.764516,0.748387,0.777419,0.725806
2.000000,4800.000000,0.777419,0.851613,0.825806,0.729032,0.748387,0.751613,0.764516,0.777419,0.770968,0.703226
2.000000,5000.000000,0.809677,0.825806,0.816129,0.761290,0.735484,0.719355,0.787097,0.777419,0.729032,0.709677
2.000000,5200.000000,0.800000,0.790323,0.841935,0.770968,0.670968,0.719355,0.816129,0.754839,0.722581,0.754839
2.000000,5400.000000,0.770968,0.790323,0.874194,0.738710,0.664516,0.751613,0.812903,0.725806,0.741935,0.767742
2.000000,5600.000000,0.751613,0.829032,0.890323,0.683871,0.680645,0.770968,0.777419,0.732258,0.770968,0.748387
2.000000,5800.000000,0.764516,0.854839,0.845161,0.687097,0.741935,0.764516,0.754839,0.761290,0.777419,0.709677
2.000000,6000.000000,0.800000,0.838710,0.816129,0.741935,0.748387,0.729032,0.770968,0.783871,0.745161,0.700000
3.000000,800.000000,0.806452,0.800000,0.825806,0.770968,0.709677,0.716129,0.803226,0.764516,0.719355,0.735484
