out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,1000.0000,-54.9946,-53.4284,-53.5489,-53.7296,-53.9705,-55.0548,-54.2717,-55.5970,-55.2356,-55.1151
1.0000,1200.0000,-46.6476,-45.0162,-48.4602,-48.0977,-47.4935,-49.2457,-48.2185,-46.6476,-47.7351,-50.0915
1.0000,1400.0000,-45.6700,-47.4893,-47.2467,-46.7616,-47.9137,-50.0362,-45.7913,-46.8828,-49.9149,-48.3989
1.0000,1600.0000,-46.1309,-48.9932,-44.3040,-46.9226,-51.0028,-48.5669,-45.4001,-48.3233,-48.9323,-46.2527
1.0000,1800.0000,-48.6768,-47.0245,-43.8423,-48.3096,-49.9619,-46.7797,-45.4334,-49.2887,-47.2693,-46.0453
1.0000,2000.0000,-48.5546,-44.3091,-43.7553,-50.4006,-47.6317,-46.2165,-48.3085,-47.9393,-46.6472,-47.0779
1.0000,2200.0000,-46.6566,-44.1805,-46.7804,-48.2041,-46.6566,-47.0280,-48.5136,-45.9756,-46.6566,-49.9993
1.0000,2400.0000,-45.0071,-44.4463,-47.6243,-46.1911,-47.0011,-49.6183,-46.9388,-46.1288,-48.1228,-48.2474
1.0000,2600.0000,-44.9895,-48.1276,-45.8054,-46.3075,-49.5712,-48.5670,-44.8640,-46.6213,-49.3201,-46.1820
1.0000,2800.0000,-46.8254,-47.2682,-43.2835,-46.6357,-50.5571,-46.5724,-44.7382,-48.9127,-47.7742,-45.5605
1.0000,3000.0000,-49.2784,-44.6228,-43.2198,-50.1075,-48.2580,-45.8345,-46.5998,-48.2580,-46.3447,-45.7070
1.0000,3200.0000,-47.0165,-43.6709,-44.3786,-49.3328,-46.3731,-46.2444,-49.2684,-46.6305,-46.2444,-48.8824
1.0000,3400.0000,-44.5723,-43.8579,-47.5597,-46.8453,-46.6505,-48.5339,-47.1700,-45.7413,-46.8453,-48.9235
1.0000,3600.0000,-44.6091,-46.8391,-46.1832,-45.8553,-47.4294,-49.2659,-44.6747,-45.9209,-49.2003,-47.1015
1.0000,3800.0000,-45.2595,-47.8442,-43.0062,-46.1211,-50.5614,-47.7116,-44.3317,-47.9104,-48.1092,-45.1932
1.0000,4000.0000,-48.8657,-46.0517,-42.6347,-47.9947,-48.9327,-45.7167,-44.6447,-48.4637,-46.0517,-45.0467
1.0000,4200.0000,-47.1012,-42.8996,-42.4930,-49.5409,-45.8814,-45.0682,-47.7111,-46.6946,-45.4070,-46.7624
1.0000,4400.0000,-44.3440,-42.2866,-45.9213,-46.7443,-45.3041,-46.1956,-47.0186,-44.5497,-45.1669,-48.9388
1.0000,4600.0000,-42.8161,-43.4410,-45.4546,-44.0659,-45.1769,-47.9542,-44.1353,-43.9965,-46.9822,-46.0795
1.0000,4800.0000,-42.1085,-45.9065,-41.9678,-43.4448,-47.8759,-45.8362,-41.7568,-44.3592,-46.4692,-42.9525
1.0000,5000.0000,-43.8586,-43.2884,-39.0829,-43.1458,-46.8524,-42.6469,-40.8649,-45.5693,-43.8586,-41.6489
1.0000,5200.0000,-44.3030,-38.7381,-37.7262,-45.6039,-43.2189,-40.6894,-42.3517,-42.8576,-41.0508,-40.6171
1.0000,5400.0000,-40.0516,-36.4593,-38.6587,-41.8111,-39.5384,-39.5384,-42.1043,-38.9519,-39.4651,-43.0574
1.0000,5600.0000,-35.5458,-34.7273,-38.8938,-37.1826,-37.8522,-40.6795,-38.2242,-36.8106,-38.7450,-40.0098
1.0000,5800.0000,-32.9996,-36.3989,-34.4349,-34.3593,-37.0032,-37.7587,-32.9241,-34.5859,-38.2119,-34.8881
1.0000,6000.0000,-31.2377,-33.3094,-27.9382,-31.7748,-36.6088,-32.4654,-29.6263,-34.4604,-33.6163,-30.7005
2.0000,1000.0000,-50.0550,-46.8623,-44.4527,-50.4767,-49.3923,-46.8623,-47.0430,-49.3923,-47.4647,-46.6816
