out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,2000.0000,-54.5846,-53.0463,-52.6772,-53.1694,-53.4155,-54.5846,-53.7847,-55.2614,-54.6461,-54.5846
1.0000,2200.0000,-46.7804,-44.3043,-47.2137,-48.0803,-46.8423,-47.3994,-48.2660,-46.1613,-46.6566,-50.1850
1.0000,2400.0000,-45.0071,-45.5679,-47.3750,-46.1911,-47.1258,-49.4937,-46.4403,-46.2534,-48.5590,-48.1851
1.0000,2600.0000,-45.5544,-48.1904,-44.9895,-46.3703,-50.0105,-48.2532,-44.9268,-47.0607,-48.8180,-46.2448
1.0000,2800.0000,-47.6477,-46.8887,-43.2835,-47.1417,-50.1144,-46.4459,-44.9912,-48.9127,-47.3947,-45.7502
1.0000,3000.0000,-48.9595,-44.1764,-43.2835,-50.1075,-48.0029,-45.8983,-47.4289,-47.8116,-46.2810,-46.4085
1.0000,3200.0000,-46.7592,-43.8639,-46.1158,-48.1103,-46.4375,-46.5018,-48.3677,-45.9228,-46.3088,-49.7831
1.0000,3400.0000,-44.7671,-44.1177,-47.4298,-45.9361,-46.7804,-49.3132,-46.7804,-45.8062,-47.8844,-48.3390
1.0000,3600.0000,-45.2650,-47.9541,-45.5929,-46.0520,-49.4626,-48.4132,-44.6747,-46.5112,-49.1347,-46.1176
1.0000,3800.0000,-46.9826,-46.8501,-42.8737,-46.4524,-50.2300,-46.3199,-44.5968,-48.7057,-47.5791,-45.7897
1.0000,4000.0000,-48.8657,-43.7067,-42.6347,-49.8707,-47.7267,-45.7167,-46.7887,-47.5257,-45.8507,-45.9177
2.0000,2000.0000,-47.2625,-44.3706,-46.1550,-48.6162,-46.8318,-46.8318,-48.9238,-46.3396,-46.7703,-50.0929
2.0000,2200.0000,-45.1709,-44.4900,-47.8327,-46.4090,-47.1518,-49.5041,-47.1518,-46.1613,-47.9565,-48.7613
2.0000,2400.0000,-45.6302,-48.1228,-46.1911,-46.3780,-49.3067,-48.8082,-45.0071,-46.3780,-49.3690,-46.6896
2.0000,2600.0000,-46.8724,-47.3117,-43.4205,-46.7469,-50.3871,-46.6841,-44.9895,-48.9435,-48.0021,-45.8682
2.0000,2800.0000,-49.2922,-44.6750,-43.3467,-50.0511,-48.2802,-45.9399,-46.7622,-48.0272,-46.4459,-46.3194
2.0000,3000.0000,-47.0463,-43.9213,-45.4519,-49.0871,-46.5998,-46.4723,-49.2146,-46.1534,-46.4085,-49.9161
2.0000,3200.0000,-45.2794,-44.2499,-47.8529,-46.3731,-46.6948,-49.2684,-47.3382,-45.9228,-47.4669,-49.2684
2.0000,3400.0000,-45.4165,-47.8844,-46.0660,-46.1959,-48.4040,-48.7936,-44.7671,-46.4557,-49.3781,-46.6505
2.0000,3600.0000,-46.5112,-47.4294,-43.1662,-46.5112,-50.5120,-46.7735,-44.7403,-48.7412,-47.8885,-46.1176
2.0000,3800.0000,-49.1696,-45.1269,-43.0725,-49.8324,-48.1755,-45.9885,-46.3199,-48.1755,-46.2536,-46.2536
2.0000,4000.0000,-46.6547,-43.1707,-43.9077,-48.9997,-46.0517,-45.7167,-48.1287,-45.6497,-45.7167,-49.0667
