out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,1000.0000,0.7677,0.8323,0.8645,0.7742,0.7355,0.7645,0.8161,0.7742,0.7613,0.7742
1.0000,1500.0000,0.7968,0.8323,0.8774,0.7613,0.7323,0.7774,0.8226,0.7710,0.7710,0.7871
1.0000,2000.0000,0.7903,0.8419,0.8774,0.7516,0.7419,0.7806,0.8065,0.7710,0.7806,0.7742
1.0000,2500.0000,0.7968,0.8516,0.8645,0.7516,0.7516,0.7774,0.8032,0.7806,0.7806,0.7645
1.0000,3000.0000,0.8097,0.8484,0.8613,0.7645,0.7452,0.7645,0.8065,0.7839,0.7710,0.7613
1.0000,3500.0000,0.8097,0.8323,0.8613,0.7742,0.7387,0.7645,0.8226,0.7806,0.7677,0.7742
1.0000,4000.0000,0.8000,0.8290,0.8774,0.7677,0.7290,0.7742,0.8258,0.7710,0.7645,0.7774
1.0000,4500.0000,0.7903,0.8355,0.8935,0.7516,0.7323,0.7774,0.8161,0.7710,0.7774,0.7774
1.0000,5000.0000,0.7968,0.8452,0.8677,0.7516,0.7516,0.7774,0.8000,0.7774,0.7806,0.7710
1.0000,5500.0000,0.8097,0.8452,0.8613,0.7645,0.7516,0.7710,0.8097,0.7839,0.7774,0.7581
1.0000,6000.0000,0.8129,0.8387,0.8613,0.7742,0.7419,0.7645,0.8129,0.7839,0.7677,0.7710
