out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,1000.0000,-50.2959,-45.1756,-44.6937,-50.7176,-47.4647,-47.2840,-49.5128,-48.4285,-47.2237,-48.6695
1.0000,1200.0000,-45.8017,-44.8350,-48.2789,-48.3998,-47.4935,-48.5810,-48.3998,-46.7080,-47.3122,-50.5749
1.0000,1400.0000,-45.6700,-47.0041,-47.6712,-46.7616,-47.9137,-50.1574,-46.0339,-46.8222,-49.6117,-48.4595
1.0000,1600.0000,-45.8264,-49.0541,-44.7912,-46.8617,-51.0028,-48.6278,-45.4610,-48.0797,-49.1759,-46.2527
1.0000,1800.0000,-48.6156,-47.0245,-43.8423,-48.0648,-50.0843,-46.7797,-45.4334,-49.2887,-47.3917,-46.0453
1.0000,2000.0000,-48.5546,-44.3706,-43.7553,-50.4006,-47.6317,-46.2165,-48.2470,-48.0009,-46.6472,-47.0164
1.0000,2200.0000,-46.4709,-44.1185,-46.9042,-48.2041,-46.6566,-47.0280,-48.5136,-46.0994,-46.6566,-49.9374
1.0000,2400.0000,-44.8825,-44.5709,-47.4996,-46.1288,-47.0635,-49.6183,-46.5649,-46.0664,-48.2474,-48.1228
1.0000,2600.0000,-44.9268,-48.1904,-45.6171,-46.3075,-49.7594,-48.3787,-44.8012,-46.8096,-49.2573,-45.8054
1.0000,2800.0000,-47.3314,-47.0152,-43.1570,-46.6989,-50.3041,-46.4459,-44.8647,-48.9759,-46.8254,-45.4972
1.0000,3000.0000,-49.2784,-44.1764,-43.2835,-50.2350,-48.0667,-45.8345,-47.3651,-47.8116,-46.2172,-45.7070
1.0000,3200.0000,-46.7592,-43.6709,-45.7297,-48.3677,-46.3088,-46.4375,-48.6250,-45.8584,-46.1801,-49.7188
1.0000,3400.0000,-44.6372,-43.9878,-47.5597,-46.0010,-46.7154,-49.2482,-46.8453,-45.8062,-47.6896,-48.3390
1.0000,3600.0000,-44.6091,-47.8229,-45.6585,-45.8553,-48.6100,-48.5444,-44.4779,-45.9865,-49.2003,-46.0520
1.0000,3800.0000,-46.3199,-47.2477,-42.8074,-46.3199,-50.4951,-46.4524,-44.3979,-48.6394,-47.7779,-45.1932
1.0000,4000.0000,-48.9327,-44.7117,-42.6347,-49.8037,-47.8607,-45.3147,-45.9847,-47.9947,-45.9177,-45.1137
1.0000,4200.0000,-46.1525,-42.7640,-43.5773,-48.7954,-45.6103,-45.4748,-48.6599,-45.4748,-45.4748,-48.5243
1.0000,4400.0000,-43.3839,-42.5609,-46.4699,-45.5098,-45.4412,-47.6358,-46.1270,-44.4811,-45.9899,-47.9101
