out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,1000.0000,-31.5013,-7.7068,9.1000,25.6055,46.2074,64.8815,81.5076,102.7118,121.1450,136.9277
1.0000,1200.0000,-26.7692,-7.4951,7.9725,28.0925,46.2187,62.4113,83.4377,103.1347,120.1129,138.4807
1.0000,1400.0000,-26.7502,-10.9230,9.8160,28.4933,44.8662,63.6647,86.1624,103.6268,119.6359,141.5877
1.0000,1600.0000,-27.9830,-10.2006,12.7583,28.5312,43.5732,66.0449,86.9332,101.8535,121.5847,143.0820
1.0000,1800.0000,-30.5629,-7.9817,13.1919,25.8594,46.1763,67.6560,86.1982,103.0882,123.9559,143.8444
1.0000,2000.0000,-28.1882,-5.7912,12.9755,26.6968,48.8477,68.2912,84.7813,105.5785,125.5143,142.0659
1.0000,2200.0000,-25.6715,-5.6769,9.9226,29.4839,49.2928,66.9351,86.9916,107.6671,125.8046,142.9517
1.0000,2400.0000,-25.4407,-8.1176,11.5111,31.2645,49.3354,66.9077,90.2753,108.4708,124.9215,145.9211
1.0000,2600.0000,-25.5960,-9.0268,14.9483,31.5803,46.7059,68.9237,91.5808,107.7735,126.9787,149.4475
1.0000,2800.0000,-28.7994,-7.1049,15.7913,30.2121,49.5031,71.9566,92.3860,108.1983,130.0193,150.7651
1.0000,3000.0000,-27.7225,-4.1257,16.0271,29.1648,52.3789,72.9144,90.0698,110.9242,132.0975,150.4009
1.0000,3200.0000,-24.8193,-3.6516,12.6907,32.3144,53.4178,72.3980,92.0860,114.0258,133.2634,150.1204
1.0000,3400.0000,-24.3097,-5.2811,13.5526,34.7893,54.0127,71.5476,95.8367,115.3848,132.5950,153.7667
1.0000,3600.0000,-24.2767,-7.2893,17.4375,35.5399,51.4122,74.3026,97.9800,115.5576,134.6439,158.1901
1.0000,3800.0000,-27.1669,-5.1641,19.0256,35.2626,53.2227,77.8101,99.5478,115.8510,138.3176,160.7843
1.0000,4000.0000,-26.9568,-1.5639,19.8760,33.2759,57.1278,79.5727,97.9976,119.2365,141.6814,161.7813
1.0000,4200.0000,-24.2634,-0.6801,17.3462,36.8635,59.5658,80.1673,99.6167,123.3355,144.0048,161.3535
1.0000,4400.0000,-21.9185,-0.5217,17.7204,40.4888,60.7883,79.3047,103.8562,125.6644,144.1809,165.9205
1.0000,4600.0000,-21.1525,-3.3078,21.6886,42.0329,59.4610,82.7910,108.2735,127.3680,146.6708,171.7366
1.0000,4800.0000,-22.9776,-0.4706,25.4828,43.1367,61.3533,87.3770,110.8687,128.1006,151.4516,175.7873
1.0000,5000.0000,-22.7598,4.5404,27.4213,41.6060,66.1975,90.8604,111.1038,132.7016,156.8655,179.2474
1.0000,5200.0000,-19.0800,6.6488,26.4514,46.5431,71.0433,93.3032,113.3948,138.8346,161.0221,179.5238
1.0000,5400.0000,-14.7589,8.7011,27.6156,52.0286,73.7290,93.5966,119.3292,143.0091,163.1700,186.1167
1.0000,5600.0000,-12.4069,6.8630,32.7547,55.3727,74.2706,98.9719,126.2772,147.4071,167.3467,194.3544
1.0000,5800.0000,-8.8266,15.1953,34.2315,59.1599,82.0487,102.9734,128.5061,153.3589,174.9635,197.0214
1.0000,6000.0000,-5.7629,14.8010,40.1990,64.1391,85.6238,108.1828,136.9569,159.2090,179.2358,206.0916
2.0000,1000.0000,-46.8623,-29.9351,-6.9237,8.7988,23.3767,45.3640,66.4478,81.4473,100.6034,121.9884
2.0000,1200.0000,-49.9103,-28.1589,-6.4680,6.2807,25.7965,47.1250,66.2783,81.8667,103.0743,122.7110
2.0000,1400.0000,-47.9744,-25.7193,-6.6782,6.1169,28.1294,47.5344,63.7254,83.7974,103.8694,120.8487
2.0000,1600.0000,-45.2783,-25.5471,-10.1397,8.6172,28.5921,46.1310,65.3141,85.8979,104.1067,120.1231
2.0000,1800.0000,-45.1274,-27.5031,-9.1444,10.6217,28.4908,45.1360,68.4515,86.5042,102.6598,122.7320
2.0000,2000.0000,-45.2320,-29.2957,-5.9758,10.8220,25.7123,47.1863,69.6449,85.9503,103.9172,126.2526
2.0000,2200.0000,-48.2041,-27.5286,-4.9341,9.9226,27.0697,49.9118,70.2159,85.3202,106.6766,127.4141
2.0000,2400.0000,-48.0605,-24.6306,-4.8150,7.8346,30.1428,50.7686,67.9047,87.7204,108.5954,127.1648
2.0000,2600.0000,-46.0565,-24.3408,-7.8343,10.3667,31.5803,50.5344,68.6727,90.5139,109.7191,125.7862
2.0000,2800.0000,-44.5485,-24.7515,-7.9904,13.0083,31.6668,48.6808,71.4506,91.5006,108.5778,128.6911
2.0000,3000.0000,-44.6866,-28.2327,-6.0390,13.3486,29.5474,50.5932,74.1261,92.1744,109.3299,132.4802
2.0000,3200.0000,-46.8878,-27.0069,-3.0082,13.4628,29.6121,53.4821,75.1646,90.7991,111.9669,134.5502
2.0000,3400.0000,-49.0534,-23.7252,-2.5535,10.5002,32.6462,55.1817,74.1454,93.1740,115.3199,135.9721
2.0000,3600.0000,-46.4456,-22.9649,-3.6164,12.6495,35.3431,56.0690,73.5811,96.7338,117.0006,134.2503
2.0000,3800.0000,-44.1329,-22.9254,-6.2245,15.9108,35.9916,54.1505,76.5509,98.5536,117.2427,136.7271
2.0000,4000.0000,-44.0417,-26.2868,-3.9089,16.9950,35.4199,55.5868,80.6447,99.9406,117.3605,141.3464
2.0000,4200.0000,-45.0004,-25.7543,-0.0024,17.6173,34.0172,59.0236,82.4714,99.2101,120.9637,144.9536
2.0000,4400.0000,-48.0473,-23.0158,0.9184,15.3887,37.8828,62.0227,83.0766,101.5245,125.1844,147.4041
2.0000,4600.0000,-45.3157,-19.9721,1.4831,16.6893,41.7552,63.8354,82.3049,105.8432,128.2706,147.3651
2.0000,4800.0000,-41.6865,-19.0388,-1.2442,20.8407,43.5587,63.5337,86.1814,109.7434,130.6327,149.7636
2.0000,5000.0000,-40.5797,-20.6927,1.6179,24.3562,45.0987,64.9858,91.7870,112.6007,131.3473,155.1548
2.0000,5200.0000,-39.5331,-20.5977,7.0825,26.3069,43.5799,69.3811,95.3990,113.9730,136.0883,161.9617
2.0000,5400.0000,-41.7378,-16.5184,9.8007,26.5892,48.8762,75.0486,98.7285,116.9833,142.2760,166.2491
2.0000,5600.0000,-38.6706,-10.9189,12.5175,27.6954,54.9263,78.7347,98.6742,123.0779,147.9279,169.0579
2.0000,5800.0000,-32.6219,-8.1468,10.9650,34.3826,59.0088,80.9911,104.4087,130.0925,152.7546,172.3952
2.0000,6000.0000,-29.6263,-7.5277,15.5683,40.4292,62.8347,83.7055,112.8634,135.4990,155.6793,181.3842
